,source,mutation_method,temperature,population_size,num_iterations,best_state,best_score
923,2,swap,2,100,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
924,2,swap,2,100,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
925,2,swap,3,5,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
926,2,swap,3,5,50,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
927,2,swap,3,5,100,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
928,2,swap,3,5,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
929,2,swap,3,5,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
930,2,swap,3,10,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
931,2,swap,3,10,50,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
932,2,swap,3,10,100,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
933,2,swap,3,10,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
934,2,swap,3,10,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
935,2,swap,3,20,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
936,2,swap,3,20,50,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
937,2,swap,3,20,100,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
938,2,swap,3,20,200,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
939,2,swap,3,20,500,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
940,2,swap,3,50,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
941,2,swap,3,50,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
942,2,swap,3,50,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
943,2,swap,3,50,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
944,2,swap,3,50,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
945,2,swap,3,100,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
946,2,swap,3,100,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
947,2,swap,3,100,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
948,2,swap,3,100,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
949,2,swap,3,100,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
950,2,swap,5,5,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
951,2,swap,5,5,50,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
952,2,swap,5,5,100,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
953,2,swap,5,5,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
954,2,swap,5,5,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
955,2,swap,5,10,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
956,2,swap,5,10,50,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
957,2,swap,5,10,100,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
958,2,swap,5,10,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
959,2,swap,5,10,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
960,2,swap,5,20,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
961,2,swap,5,20,50,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
962,2,swap,5,20,100,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
963,2,swap,5,20,200,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
964,2,swap,5,20,500,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
965,2,swap,5,50,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
966,2,swap,5,50,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
967,2,swap,5,50,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
968,2,swap,5,50,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
969,2,swap,5,50,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
970,2,swap,5,100,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
971,2,swap,5,100,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
972,2,swap,5,100,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
