,source,mutation_method,num_iterations,population_size,selection_type,best_state,best_score
195,1,all,500,5,roulette,"[1, 0, 2, 4]",104.3284
196,1,all,500,10,roulette,"[1, 0, 2, 4]",104.3284
197,1,all,500,20,roulette,"[1, 0, 2, 4]",104.3284
198,1,all,500,50,roulette,"[1, 0, 2, 4]",104.3284
199,1,all,500,100,roulette,"[1, 0, 2, 4]",104.3284
200,1,shuffle,10,5,threshold,"[1, 0, 2, 4]",104.3284
201,1,shuffle,10,10,threshold,"[1, 0, 2, 4]",104.3284
202,1,shuffle,10,20,threshold,"[1, 0, 2, 4]",104.3284
203,1,shuffle,10,50,threshold,"[1, 0, 2, 4]",104.3284
204,1,shuffle,10,100,threshold,"[1, 0, 2, 4]",104.3284
205,1,shuffle,50,5,threshold,"[1, 0, 2, 4]",104.3284
206,1,shuffle,50,10,threshold,"[1, 0, 2, 4]",104.3284
207,1,shuffle,50,20,threshold,"[1, 0, 2, 4]",104.3284
208,1,shuffle,50,50,threshold,"[1, 0, 2, 4]",104.3284
209,1,shuffle,50,100,threshold,"[1, 0, 2, 4]",104.3284
210,1,shuffle,100,5,threshold,"[1, 0, 2, 4]",104.3284
211,1,shuffle,100,10,threshold,"[1, 0, 2, 4]",104.3284
212,1,shuffle,100,20,threshold,"[1, 0, 2, 4]",104.3284
213,1,shuffle,100,50,threshold,"[1, 0, 2, 4]",104.3284
214,1,shuffle,100,100,threshold,"[1, 0, 2, 4]",104.3284
215,1,shuffle,200,5,threshold,"[1, 0, 2, 4]",104.3284
216,1,shuffle,200,10,threshold,"[1, 0, 2, 4]",104.3284
217,1,shuffle,200,20,threshold,"[1, 0, 2, 4]",104.3284
218,1,shuffle,200,50,threshold,"[1, 0, 2, 4]",104.3284
219,1,shuffle,200,100,threshold,"[1, 0, 2, 4]",104.3284
220,1,shuffle,500,5,threshold,"[1, 0, 2, 4]",104.3284
221,1,shuffle,500,10,threshold,"[1, 0, 2, 4]",104.3284
222,1,shuffle,500,20,threshold,"[1, 0, 2, 4]",104.3284
223,1,shuffle,500,50,threshold,"[1, 0, 2, 4]",104.3284
224,1,shuffle,500,100,threshold,"[1, 0, 2, 4]",104.3284
225,1,swap,10,5,threshold,"[1, 0, 2, 3, 4]",104.1531744
226,1,swap,10,10,threshold,"[1, 0, 2, 3, 4]",104.1531744
227,1,swap,10,20,threshold,"[1, 0, 2, 3, 4]",104.1531744
228,1,swap,10,50,threshold,"[1, 0, 2, 4]",104.3284
229,1,swap,10,100,threshold,"[1, 0, 2, 4]",104.3284
230,1,swap,50,5,threshold,"[1, 0, 2, 3, 4]",104.1531744
231,1,swap,50,10,threshold,"[1, 0, 2, 3, 4]",104.1531744
232,1,swap,50,20,threshold,"[1, 0, 2, 4]",104.3284
233,1,swap,50,50,threshold,"[1, 0, 2, 4]",104.3284
234,1,swap,50,100,threshold,"[1, 0, 2, 4]",104.3284
235,1,swap,100,5,threshold,"[1, 0, 2, 3, 4]",104.1531744
236,1,swap,100,10,threshold,"[1, 0, 2, 3, 4]",104.1531744
237,1,swap,100,20,threshold,"[1, 0, 2, 4]",104.3284
238,1,swap,100,50,threshold,"[1, 0, 2, 4]",104.3284
239,1,swap,100,100,threshold,"[1, 0, 2, 4]",104.3284
240,1,swap,200,5,threshold,"[1, 0, 2, 3, 4]",104.1531744
241,1,swap,200,10,threshold,"[1, 0, 2, 3, 4]",104.1531744
242,1,swap,200,20,threshold,"[1, 0, 2, 4]",104.3284
243,1,swap,200,50,threshold,"[1, 0, 2, 4]",104.3284
244,1,swap,200,100,threshold,"[1, 0, 2, 4]",104.3284
245,1,swap,500,5,threshold,"[1, 0, 2, 3, 4]",104.1531744
246,1,swap,500,10,threshold,"[1, 0, 2, 3, 4]",104.1531744
247,1,swap,500,20,threshold,"[1, 0, 2, 4]",104.3284
248,1,swap,500,50,threshold,"[1, 0, 2, 4]",104.3284
249,1,swap,500,100,threshold,"[1, 0, 2, 4]",104.3284
250,1,add,10,5,threshold,"[1, 0, 2, 3, 4]",104.1531744
251,1,add,10,10,threshold,"[1, 0, 2, 4]",104.3284
252,1,add,10,20,threshold,"[1, 0, 2, 4]",104.3284
253,1,add,10,50,threshold,"[1, 0, 2, 4]",104.3284
254,1,add,10,100,threshold,"[1, 0, 2, 4]",104.3284
255,1,add,50,5,threshold,"[1, 0, 2, 3, 4]",104.1531744
256,1,add,50,10,threshold,"[1, 0, 2, 4]",104.3284
257,1,add,50,20,threshold,"[1, 0, 2, 4]",104.3284
258,1,add,50,50,threshold,"[1, 0, 2, 4]",104.3284
259,1,add,50,100,threshold,"[1, 0, 2, 4]",104.3284
260,1,add,100,5,threshold,"[1, 0, 2, 3, 4]",104.1531744
261,1,add,100,10,threshold,"[1, 0, 2, 4]",104.3284
262,1,add,100,20,threshold,"[1, 0, 2, 4]",104.3284
263,1,add,100,50,threshold,"[1, 0, 2, 4]",104.3284
264,1,add,100,100,threshold,"[1, 0, 2, 4]",104.3284
265,1,add,200,5,threshold,"[1, 0, 2, 3, 4]",104.1531744
266,1,add,200,10,threshold,"[1, 0, 2, 4]",104.3284
267,1,add,200,20,threshold,"[1, 0, 2, 4]",104.3284
268,1,add,200,50,threshold,"[1, 0, 2, 4]",104.3284
269,1,add,200,100,threshold,"[1, 0, 2, 4]",104.3284
270,1,add,500,5,threshold,"[1, 0, 2, 3, 4]",104.1531744
271,1,add,500,10,threshold,"[1, 0, 2, 4]",104.3284
272,1,add,500,20,threshold,"[1, 0, 2, 4]",104.3284
273,1,add,500,50,threshold,"[1, 0, 2, 4]",104.3284
274,1,add,500,100,threshold,"[1, 0, 2, 4]",104.3284
275,1,all,10,5,threshold,"[1, 0, 2, 4]",104.3284
276,1,all,10,10,threshold,"[1, 0, 2, 4]",104.3284
277,1,all,10,20,threshold,"[1, 0, 2, 4]",104.3284
278,1,all,10,50,threshold,"[1, 0, 2, 4]",104.3284
279,1,all,10,100,threshold,"[1, 0, 2, 4]",104.3284
280,1,all,50,5,threshold,"[1, 0, 2, 4]",104.3284
281,1,all,50,10,threshold,"[1, 0, 2, 4]",104.3284
282,1,all,50,20,threshold,"[1, 0, 2, 4]",104.3284
283,1,all,50,50,threshold,"[1, 0, 2, 4]",104.3284
284,1,all,50,100,threshold,"[1, 0, 2, 4]",104.3284
285,1,all,100,5,threshold,"[1, 0, 2, 4]",104.3284
286,1,all,100,10,threshold,"[1, 0, 2, 4]",104.3284
287,1,all,100,20,threshold,"[1, 0, 2, 4]",104.3284
288,1,all,100,50,threshold,"[1, 0, 2, 4]",104.3284
289,1,all,100,100,threshold,"[1, 0, 2, 4]",104.3284
290,1,all,200,5,threshold,"[1, 0, 2, 4]",104.3284
291,1,all,200,10,threshold,"[1, 0, 2, 4]",104.3284
292,1,all,200,20,threshold,"[1, 0, 2, 4]",104.3284
293,1,all,200,50,threshold,"[1, 0, 2, 4]",104.3284
294,1,all,200,100,threshold,"[1, 0, 2, 4]",104.3284
295,1,all,500,5,threshold,"[1, 0, 2, 4]",104.3284
296,1,all,500,10,threshold,"[1, 0, 2, 4]",104.3284
297,1,all,500,20,threshold,"[1, 0, 2, 4]",104.3284
298,1,all,500,50,threshold,"[1, 0, 2, 4]",104.3284
299,1,all,500,100,threshold,"[1, 0, 2, 4]",104.3284
300,2,shuffle,10,5,tournament,"[3, 7, 8, 9, 5]",0.0625
301,2,shuffle,10,10,tournament,"[3, 0, 2, 9, 5]",0.125
302,2,shuffle,10,20,tournament,"[3, 0, 4, 9, 7, 2, 6, 8, 1, 5]",0.0078125
303,2,shuffle,10,50,tournament,"[4, 9, 6, 0, 3, 5]",0.125
304,2,shuffle,10,100,tournament,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
305,2,shuffle,50,5,tournament,"[3, 1, 6, 5]",0.125
306,2,shuffle,50,10,tournament,"[3, 0, 9, 2, 5]",0.125
307,2,shuffle,50,20,tournament,"[3, 7, 5]",0.25
308,2,shuffle,50,50,tournament,"[4, 4, 5]",0.25
309,2,shuffle,50,100,tournament,"[3, 7, 1, 0, 9, 5]",0.03125
310,2,shuffle,100,5,tournament,"[3, 9, 4, 5]",0.125
